City_ID,City,Lat,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
185,Vilyuchinsk,52.9306,158.4028,13.15,95,98,1.37,RU,1720631903
186,Piton Saint-Leu,-21.2196,55.3151,19.11,78,100,5.14,RE,1720631904
187,Eyl,7.9803,49.8164,26.0,81,62,10.59,SO,1720631904
188,Luanda,-8.8368,13.2343,20.56,83,67,7.29,AO,1720631313
189,Lethbridge,49.7,-112.8186,30.06,45,20,4.63,CA,1720631633
190,Lata,40.1629,-8.3327,29.16,50,0,4.15,PT,1720631904
191,Invercargill,-46.4,168.35,1.12,97,31,1.7,NZ,1720631904
192,Saipan,15.1355,145.701,27.39,83,0,2.57,MP,1720631904
193,Naryn,41.4287,75.9911,13.04,71,85,1.73,KG,1720631904
194,Castillos,-34.1667,-53.8333,7.82,83,99,4.03,UY,1720631905
195,Crane,31.3974,-102.3501,30.6,37,1,3.01,US,1720631905
196,Lompoc,34.6391,-120.4579,20.34,82,100,2.06,US,1720631905
197,George Town,5.4112,100.3354,28.96,71,20,3.09,MY,1720631897
198,Champerico,14.3,-91.9167,33.3,70,68,1.58,GT,1720631905
199,Gulf Breeze,30.3571,-87.1639,28.38,88,75,0.0,US,1720631905
200,Acapulco de Juárez,16.8634,-99.8901,29.9,70,100,1.54,MX,1720631905
201,Sines Municipality,37.9562,-8.8698,21.83,73,7,4.02,PT,1720631906
202,Mata-Utu,-13.2816,-176.1745,26.6,82,100,12.28,WF,1720631906
203,Martapura,-3.4167,114.85,24.05,100,91,1.03,ID,1720631906
204,Cidreira,-30.1811,-50.2056,10.67,96,100,4.2,BR,1720631906
205,Hasaki,35.7333,140.8333,28.22,85,100,11.37,JP,1720631906
206,Mislīyah,17.4599,42.5572,32.04,57,90,2.12,SA,1720631907
207,Yuzhno-Kurilsk,44.0306,145.8556,14.65,99,100,1.49,RU,1720631907
208,Fort Bragg,35.139,-79.006,34.85,60,40,5.14,US,1720631907
209,Punta Arenas,-53.15,-70.9167,5.01,65,0,8.75,CL,1720631787
210,Afif,23.9065,42.9172,36.77,10,89,3.2,SA,1720631907
211,Papao,-17.75,-149.55,23.82,77,100,0.9,PF,1720631908
212,Bonthe,7.5264,-12.505,25.97,84,94,5.32,SL,1720631908
213,Kapit,2.0167,112.9333,22.97,100,100,0.72,MY,1720631908
214,Copala,16.65,-98.9833,23.67,91,100,2.24,MX,1720631908
215,Labytnangi,66.6572,66.4183,22.52,61,48,3.2,RU,1720631908
216,Angra do Heroísmo,38.65,-27.2167,26.34,65,20,6.41,PT,1720631908
217,Oltinkul,40.8011,72.1634,27.76,40,76,2.08,UZ,1720631908
218,Sisimiut,66.9395,-53.6735,6.25,80,100,2.86,GL,1720631908
219,Katsuren-haebaru,26.3369,127.8719,30.22,86,75,3.6,JP,1720631909
220,Soto la Marina,23.7667,-98.2167,31.13,65,51,3.06,MX,1720631909
221,Juneau,58.3019,-134.4197,13.01,98,100,4.12,US,1720631890
222,Baukau,51.5526,7.2042,25.16,75,47,3.72,DE,1720631909
223,Port Elizabeth,-33.918,25.5701,15.61,85,0,1.03,ZA,1720631909
224,İspir,40.4829,40.9956,19.1,83,96,1.86,TR,1720631909
225,Senj,44.9894,14.9058,34.37,71,71,1.19,HR,1720631909
226,Kavaratti,10.5669,72.642,27.21,82,100,4.96,IN,1720631910
227,Klyuchi,52.2667,79.1667,19.6,53,76,2.48,RU,1720631910
228,Whitehorse,60.7161,-135.0538,13.43,81,100,7.2,CA,1720631796
229,Matoury,4.8483,-52.3317,26.98,83,20,3.09,GF,1720631910
230,Carutapera,-1.195,-46.02,29.49,64,44,4.99,BR,1720631910
231,Qaqortoq,60.7167,-46.0333,7.72,89,100,3.93,GL,1720631910
232,Beyneu,45.3167,55.2,31.59,22,0,7.31,KZ,1720631910
233,Nguigmi,14.2495,13.1092,35.95,34,89,4.63,NE,1720631910
234,Nova Sintra,14.8667,-24.7167,23.56,81,65,10.15,CV,1720631910
235,Coahuayana de Hidalgo,18.7,-103.6583,29.15,72,100,1.88,MX,1720631911
236,La Sarre,48.8002,-79.1996,18.75,54,100,3.48,CA,1720631911
237,Sollefteå,63.1667,17.2667,15.92,86,100,2.41,SE,1720631911
238,Onguday,50.75,86.15,11.16,96,35,1.19,RU,1720631911
239,Takāb,36.4009,47.1133,23.02,45,56,2.73,IR,1720631911
